athlete_id,name,gender,age,country,category,competition,year,snatch_kg,clean_and_jerk_kg,total_kg,body_weight_kg,team,coach,event_rank,medal,record_status,lifting_style,injury_history,sponsor
ath_44,Hiro Tanaka,?,62,CHN,73KG,National Open,2013,113kg,N/A,N/A,?,Madrid Strength,Anna Müller,0,Gold,N/A,Functional,N,Rogue
,Li Wei,F,N/A,Spain,-96kg,Junior Championship,N/A,74kg,202kg,?,?,Berlin Power,Li Zhang,15,Bronze,National Record,Functional,?,N/A
ath_46,John Smith,F,N/A,usa,73KG,World Championship,2013,N/A,161kg,?,85kg,Madrid Strength,Carlos Ruiz,0,N/A,Personal Best,Olympic,unknown,Nike
ath_47,Carlos Ruiz,?,?,Brazil,-81kg,Junior Championship,2019,111kg,99kg,300kg,N/A,Tokyo Lift Club,Unknown,0,Silver,N/A,Powerlifting,N,unknown
,Maria Rossi,?,N/A,Mexico,N/A,Olympics 2020,2014,N/A,76.5,N/A,55kg,Berlin Power,N/A,0,?,?,Functional,N,Nike
,Maria Rossi,Female,?,RUS,+109kg,Olympics 2020,2018,0,?,300kg,87.5,Berlin Power,Carlos Ruiz,N/A,Gold,Personal Best,Olympic,N,Reebok
51,John Smith,M,51,Italy,-109kg,World Championship,?,?,?,N/A,?,unknown,?,N/A,Silver,National Record,Olympic,Yes,N/A
52,Unknown,Female,?,Brazil,-73kg,National Open,2017,0,-1,N/A,116kg,Tokyo Lift Club,Michael Johnson,17,None,National Record,Functional,unknown,unknown
,Hiro Tanaka,unknown,N/A,usa,73KG,Junior Championship,2016,142kg,-1,300kg,135.6,Berlin Power,?,N/A,?,World Record,Functional,N,Reebok
54,Hiro Tanaka,Female,?,Italy,-55kg,Tokyo 2021,2018,N/A,?,300kg,117kg,Cairo Strong,Pedro López,N/A,Bronze,Personal Best,N/A,unknown,Under Armour
,Anna Kowalska,Male,20,RUS,N/A,N/A,2025,122kg,N/A,300kg,74kg,Cairo Strong,Michael Johnson,?,None,N/A,?,Yes,N/A
,Youssef Ahmed,unknown,N/A,Egypt,-73kg,Junior Championship,2017,93kg,181.3,?,109kg,unknown,Michael Johnson,7,Bronze,N/A,?,No,Rogue
ath_56,Miguel Santos,unknown,31,Germany,-61kg,Olympics 2020,2013,75.0,N/A,?,141.0,Roma Lifting,Carlos Ruiz,?,Silver,N/A,?,N,Under Armour
,David Müller,Female,24,CHN,-109kg,World Championship,2013,165kg,115.8,?,82kg,Madrid Strength,N/A,18,?,National Record,N/A,unknown,Eleiko
ath_58,Anna Kowalska,unknown,18,Mexico,N/A,?,2018,N/A,-1,175.2,N/A,Roma Lifting,Li Zhang,N/A,Silver,N/A,Powerlifting,Yes,Nike
,Youssef Ahmed,unknown,28,CHN,-55kg,World Championship,2015,141.3,?,N/A,N/A,Berlin Power,Pedro López,0,?,N/A,Olympic,Y,unknown
,Youssef Ahmed,Female,42,usa,-61kg,World Championship,N/A,?,88kg,300kg,114kg,Beijing Barbell,Pedro López,0,Bronze,None,?,No,Puma
62,Li Wei,F,?,spain,-73kg,Panamerican Games,2010,165.6,168kg,300kg,?,Tokyo Lift Club,Li Zhang,19,Bronze,World Record,Olympic,?,Adidas
,Sarah Johnson,?,65,Mexico,-81kg,World Championship,2022,142.1,185.4,N/A,?,Berlin Power,Pedro López,0,N/A,Personal Best,N/A,Y,Adidas
64,N/A,F,20,Mexico,-55kg,European Cup,2011,0,?,N/A,130.8,Cairo Strong,Pedro López,9,Silver,?,Olympic,?,unknown
,Anna Kowalska,unknown,N/A,China,73KG,N/A,?,?,N/A,?,77kg,Cairo Strong,Unknown,0,None,?,Functional,No,unknown
66,Carlos Ruiz,unknown,?,spain,-73kg,Olympics 2020,?,N/A,-1,300kg,117.7,Team USA,Anna Müller,0,?,?,CrossFit,Y,N/A
,Sofia López,M,?,Egypt,-61kg,European Cup,2015,?,-1,288.7,110.4,Team USA,Pedro López,N/A,?,World Record,N/A,?,Under Armour
ath_67,David Müller,unknown,?,Japan,-109kg,Junior Championship,2013,N/A,-1,N/A,N/A,Cairo Strong,Anna Müller,N/A,Gold,World Record,Powerlifting,unknown,Puma
69,Unknown,unknown,N/A,Japan,-67kg,Continental Cup,2010,143.8,-1,?,?,unknown,Anna Müller,4,Bronze,?,Olympic,N,Puma
70,Miguel Santos,unknown,N/A,Egypt,-81kg,Olympics 2020,2016,89.2,-1,?,?,Tokyo Lift Club,Pedro López,N/A,Gold,Personal Best,N/A,?,Puma
71,Laura Gómez,?,N/A,Spain,-73kg,?,2011,?,N/A,?,N/A,Team USA,Unknown,7,N/A,?,Powerlifting,Y,Reebok
,Elena Petrova,Male,17,Egypt,-109kg,Panamerican Games,2016,0,N/A,?,?,London Barbell,?,0,Silver,?,Functional,?,Nike
ath_72,Unknown,Female,?,USA,-109kg,Junior Championship,2011,0,102kg,300kg,127.9,unknown,Li Zhang,?,?,None,Functional,Yes,Rogue
74,Laura Gómez,unknown,N/A,CHN,+109kg,N/A,2016,112.0,74kg,300kg,74.0,Beijing Barbell,Anna Müller,?,Gold,World Record,N/A,Y,Nike
75,John Smith,F,N/A,RUS,-61kg,Olympics 2020,2022,0,200.0,309.1,?,CN Barcelona,N/A,0,Silver,National Record,Functional,unknown,unknown
ath_75,Youssef Ahmed,Female,32,Italy,-67kg,Olympics 2020,2015,133kg,?,?,105.3,CN Barcelona,Unknown,N/A,Gold,National Record,CrossFit,?,Nike
,Maria Rossi,Male,14,France,-55kg,Tokyo 2021,2013,168kg,-1,333.7,85.6,Tokyo Lift Club,N/A,N/A,None,World Record,N/A,Yes,unknown
ath_77,N/A,Male,N/A,RUS,-67kg,Olympics 2020,2017,146.8,71kg,N/A,83kg,unknown,N/A,?,N/A,N/A,Powerlifting,No,Puma
ath_78,Maria Rossi,M,65,France,-61kg,National Open,2019,135.1,-1,?,111kg,Roma Lifting,Michael Johnson,N/A,None,None,Functional,Yes,Eleiko
,Carlos Ruiz,M,?,Brazil,-81kg,Olympics 2020,2013,0,203kg,184.7,50.0,Berlin Power,N/A,?,Silver,N/A,Functional,?,Eleiko
,James Lee,Female,?,spain,-67kg,N/A,2019,?,170kg,N/A,91.1,CN Barcelona,Carlos Ruiz,N/A,Bronze,None,Powerlifting,Y,unknown
ath_81,Li Wei,unknown,N/A,Italy,73KG,National Open,2010,116kg,215.3,N/A,99.9,Team USA,Anna Müller,12,Bronze,?,N/A,Yes,Adidas
,Carlos Ruiz,Female,?,Egypt,-96kg,N/A,2017,167.8,N/A,366.8,97.1,London Barbell,Li Zhang,0,?,Personal Best,Olympic,Y,Rogue
ath_83,?,Male,?,spain,+109kg,Junior Championship,N/A,N/A,110.1,?,112.7,London Barbell,Pedro López,?,Bronze,World Record,Powerlifting,unknown,unknown
ath_84,James Lee,Female,?,usa,-109kg,Olympics 2020,2012,83kg,N/A,?,100kg,Beijing Barbell,Anna Müller,N/A,None,National Record,Powerlifting,Yes,Under Armour
ath_85,Elena Petrova,F,?,Italy,-67kg,Olympics 2020,N/A,50kg,N/A,N/A,58.4,Cairo Strong,Michael Johnson,?,Bronze,N/A,Olympic,?,Puma
87,James Lee,Female,27,usa,+109kg,N/A,2018,?,N/A,300kg,59kg,Beijing Barbell,N/A,0,Gold,World Record,Olympic,unknown,unknown
88,David Müller,?,63,Germany,-55kg,Junior Championship,2012,0,111kg,300kg,112kg,CN Barcelona,Pedro López,?,None,?,CrossFit,unknown,Nike
89,Anna Kowalska,Male,?,Italy,N/A,N/A,2014,0,?,?,98.7,Madrid Strength,Pedro López,?,Gold,Personal Best,Functional,N,Nike
90,Sofia López,F,39,BRA,-96kg,Continental Cup,2010,N/A,?,?,84kg,Cairo Strong,Carlos Ruiz,11,?,None,Powerlifting,unknown,Under Armour
91,Youssef Ahmed,?,N/A,Russia,-61kg,Continental Cup,2011,N/A,N/A,?,119kg,Roma Lifting,Michael Johnson,N/A,Silver,N/A,N/A,Yes,Adidas
ath_91,Elena Petrova,M,45,Japan,-55kg,European Cup,2017,93kg,?,?,?,Team USA,Anna Müller,0,None,World Record,Powerlifting,?,unknown
,Elena Petrova,F,13,Unknown,+109kg,Tokyo 2021,2013,N/A,-1,N/A,N/A,CN Barcelona,N/A,?,N/A,National Record,Olympic,N,N/A
ath_93,Youssef Ahmed,unknown,51,Unknown,73KG,National Open,2010,78kg,?,300kg,N/A,Team USA,Li Zhang,?,Silver,N/A,N/A,N,Nike
ath_94,John Smith,F,27,Egypt,-67kg,Tokyo 2021,2021,N/A,157kg,300kg,87.7,Roma Lifting,Unknown,2,Gold,World Record,Functional,N,Under Armour
ath_95,Hiro Tanaka,Female,?,Egypt,-73kg,National Open,2012,?,?,N/A,?,Beijing Barbell,Pedro López,N/A,Bronze,N/A,N/A,unknown,Reebok
ath_96,James Lee,F,N/A,usa,-81kg,Panamerican Games,2017,130kg,-1,300kg,88kg,Madrid Strength,Unknown,?,Bronze,National Record,?,Yes,Adidas
,Miguel Santos,M,57,USA,73KG,Tokyo 2021,?,?,-1,?,62.6,CN Barcelona,N/A,?,?,Personal Best,?,Yes,Rogue
99,Hiro Tanaka,unknown,20,France,-73kg,Junior Championship,2011,N/A,N/A,?,N/A,London Barbell,Unknown,?,Bronze,None,?,Y,Puma
100,Sofia López,Female,?,USA,-55kg,Tokyo 2021,2018,55.2,99.3,256.8,?,CN Barcelona,Anna Müller,N/A,?,World Record,CrossFit,N,Eleiko
ath_100,Elena Petrova,M,?,Italy,-96kg,European Cup,2015,171kg,96.2,130.7,120kg,London Barbell,Anna Müller,N/A,Silver,World Record,Powerlifting,unknown,N/A
102,Emma Brown,F,46,Brazil,73KG,N/A,2013,0,-1,?,111.5,Beijing Barbell,Carlos Ruiz,20,Gold,Personal Best,Olympic,?,Adidas
ath_102,Laura Gómez,Female,63,Italy,-96kg,?,2022,N/A,190kg,141.9,147.9,London Barbell,Pedro López,?,Bronze,N/A,Functional,No,Puma
,N/A,unknown,?,RUS,-81kg,?,2024,0,N/A,300kg,?,London Barbell,N/A,0,None,?,?,Y,Puma
,?,M,?,usa,-73kg,Continental Cup,2010,0,N/A,?,N/A,CN Barcelona,Carlos Ruiz,N/A,None,None,Functional,N,unknown
,Anna Kowalska,unknown,21,spain,N/A,N/A,2017,69.3,?,?,122.9,unknown,Carlos Ruiz,?,Bronze,None,Functional,Y,N/A
,James Lee,M,45,Brazil,N/A,Continental Cup,2017,103.7,71.8,250.2,129.1,London Barbell,Carlos Ruiz,0,None,World Record,N/A,No,N/A
ath_107,Miguel Santos,unknown,52,USA,+109kg,N/A,2011,0,202.6,?,111kg,Roma Lifting,Anna Müller,?,Bronze,National Record,CrossFit,?,Puma
,Li Wei,F,27,Mexico,-67kg,Continental Cup,2017,0,161.3,300kg,108.2,Beijing Barbell,N/A,0,?,National Record,Olympic,Y,Reebok
110,David Müller,M,?,RUS,-55kg,?,2013,174.3,?,?,109.0,Tokyo Lift Club,Carlos Ruiz,0,None,National Record,?,No,Puma
,Unknown,F,21,Mexico,-73kg,Continental Cup,2025,N/A,N/A,300kg,64kg,Berlin Power,Carlos Ruiz,?,?,Personal Best,Functional,unknown,Puma
ath_111,?,unknown,37,BRA,73KG,Olympics 2020,2023,?,N/A,336.1,58kg,Tokyo Lift Club,Li Zhang,N/A,Silver,National Record,Olympic,N,Nike
,Emma Brown,unknown,46,CHN,-61kg,Tokyo 2021,2024,?,?,368.4,?,Team USA,Unknown,?,None,Personal Best,Olympic,Yes,Adidas
114,James Lee,Male,N/A,Mexico,-73kg,National Open,9999,?,200kg,300kg,127.9,Tokyo Lift Club,?,0,?,?,CrossFit,Y,Under Armour
ath_114,Anna Kowalska,Female,N/A,Russia,-73kg,European Cup,?,?,?,300kg,100.4,Tokyo Lift Club,N/A,4,N/A,None,Olympic,?,Rogue
ath_115,?,F,N/A,BRA,-67kg,National Open,2021,72kg,-1,300kg,N/A,Madrid Strength,Michael Johnson,N/A,N/A,?,Olympic,Yes,N/A
,Sofia López,Female,20,USA,-55kg,?,2015,?,184kg,318.3,64kg,Madrid Strength,Li Zhang,11,Bronze,World Record,Powerlifting,?,Puma
118,Laura Gómez,unknown,?,Egypt,N/A,Tokyo 2021,2014,?,191kg,300kg,N/A,Beijing Barbell,N/A,N/A,None,World Record,Olympic,Y,Rogue
ath_118,Li Wei,unknown,N/A,Brazil,+109kg,World Championship,2024,?,206kg,193.9,108.4,Beijing Barbell,Michael Johnson,20,Bronze,World Record,N/A,unknown,Eleiko
ath_119,David Müller,unknown,N/A,Spain,-81kg,World Championship,2010,105kg,170kg,174.2,111.4,Roma Lifting,Unknown,0,Silver,National Record,CrossFit,unknown,Puma
121,Carlos Ruiz,F,18,China,73KG,?,?,?,?,374.8,N/A,Team USA,Pedro López,0,?,Personal Best,N/A,No,Adidas
ath_121,Anna Kowalska,M,35,Unknown,+109kg,Continental Cup,2019,?,122kg,N/A,81.6,Roma Lifting,Li Zhang,N/A,?,?,CrossFit,No,unknown
,Anna Kowalska,F,N/A,usa,+109kg,European Cup,9999,151.2,125kg,N/A,N/A,CN Barcelona,Unknown,7,?,Personal Best,N/A,?,Rogue
,David Müller,Male,N/A,Italy,N/A,Junior Championship,2021,0,N/A,N/A,95.8,Tokyo Lift Club,Michael Johnson,10,Bronze,World Record,N/A,Yes,Under Armour
ath_124,Youssef Ahmed,Male,?,Japan,-55kg,Tokyo 2021,N/A,154.7,-1,N/A,N/A,London Barbell,Pedro López,N/A,Bronze,World Record,Functional,N,Puma
,Youssef Ahmed,Male,N/A,Spain,-61kg,N/A,9999,?,?,374.9,?,Berlin Power,?,N/A,Bronze,Personal Best,Olympic,No,unknown
ath_126,Sofia López,F,28,Unknown,-67kg,National Open,2018,N/A,N/A,N/A,?,Berlin Power,Carlos Ruiz,N/A,None,N/A,Olympic,unknown,Reebok
,Emma Brown,unknown,39,Spain,-109kg,Olympics 2020,2021,0,-1,300kg,?,Berlin Power,Pedro López,0,N/A,World Record,Powerlifting,unknown,N/A
,John Smith,Female,N/A,Germany,-73kg,N/A,2011,0,-1,?,N/A,unknown,Li Zhang,N/A,?,National Record,Functional,unknown,N/A
130,Emma Brown,?,40,Unknown,+109kg,?,2015,85.7,171.9,182.5,84.1,Beijing Barbell,N/A,?,N/A,None,N/A,N,N/A
,John Smith,Male,N/A,Italy,-109kg,Junior Championship,2022,102.1,N/A,308.5,101.9,CN Barcelona,N/A,N/A,?,National Record,N/A,unknown,Reebok
ath_131,David Müller,M,N/A,Unknown,-81kg,Continental Cup,2020,?,N/A,346.2,75kg,Team USA,N/A,?,?,?,?,?,Puma
ath_132,Anna Kowalska,Female,54,usa,+109kg,Olympics 2020,9999,151.0,181kg,?,80.9,London Barbell,?,0,Gold,?,Functional,unknown,Puma
ath_133,James Lee,M,N/A,Germany,-61kg,European Cup,2016,126kg,160kg,N/A,70kg,Beijing Barbell,?,0,Silver,N/A,?,unknown,Rogue
ath_134,Laura Gómez,M,23,China,N/A,National Open,2021,?,197.7,300kg,N/A,Roma Lifting,Li Zhang,9,Bronze,None,N/A,unknown,Rogue
ath_135,Hiro Tanaka,?,?,Unknown,-73kg,National Open,2015,?,186kg,N/A,?,Berlin Power,Carlos Ruiz,7,None,?,Functional,N,Nike
ath_136,N/A,?,41,Germany,73KG,Tokyo 2021,2017,N/A,144kg,?,100kg,Berlin Power,Michael Johnson,0,N/A,National Record,CrossFit,unknown,Reebok
138,N/A,?,56,Unknown,-55kg,Panamerican Games,2017,0,89.0,300kg,83kg,Madrid Strength,?,?,?,National Record,CrossFit,No,Rogue
ath_138,N/A,?,?,USA,-67kg,World Championship,2018,0,?,?,102kg,London Barbell,Unknown,N/A,Bronze,?,Olympic,Y,Puma
ath_139,David Müller,M,?,Mexico,+109kg,World Championship,2019,137kg,?,?,N/A,Cairo Strong,Anna Müller,0,Silver,World Record,Olympic,Yes,Adidas
,Elena Petrova,Female,34,USA,-96kg,Olympics 2020,2021,0,?,N/A,84kg,Madrid Strength,Li Zhang,0,Gold,?,CrossFit,?,N/A
,Maria Rossi,Female,40,usa,-81kg,World Championship,2015,N/A,N/A,360.8,N/A,unknown,?,N/A,N/A,Personal Best,Powerlifting,?,Rogue
,Carlos Ruiz,unknown,N/A,spain,-61kg,Junior Championship,2014,N/A,?,387.9,?,Tokyo Lift Club,N/A,5,Bronze,Personal Best,?,N,Adidas
144,Anna Kowalska,?,?,Japan,-55kg,National Open,N/A,123.2,199kg,?,116kg,Beijing Barbell,Anna Müller,N/A,Gold,National Record,Functional,No,Nike
ath_144,James Lee,F,30,Egypt,-61kg,World Championship,2021,?,110kg,N/A,?,Cairo Strong,Anna Müller,0,Silver,None,?,No,Adidas
ath_145,Elena Petrova,Female,N/A,France,73KG,Olympics 2020,2024,?,N/A,?,60.3,Roma Lifting,Pedro López,17,Silver,World Record,Functional,N,Reebok
147,Miguel Santos,?,48,France,N/A,N/A,2011,0,N/A,308.9,N/A,Team USA,Unknown,0,?,World Record,Functional,?,Reebok
,Hiro Tanaka,unknown,N/A,Russia,+109kg,Junior Championship,2012,N/A,202.5,N/A,N/A,Roma Lifting,N/A,0,?,Personal Best,Powerlifting,No,Eleiko
149,James Lee,M,N/A,RUS,-81kg,Continental Cup,2021,N/A,95.6,?,N/A,Tokyo Lift Club,Anna Müller,16,Bronze,?,Powerlifting,No,Puma
ath_149,Hiro Tanaka,F,N/A,RUS,N/A,European Cup,2016,?,N/A,310.6,N/A,Tokyo Lift Club,N/A,N/A,N/A,Personal Best,CrossFit,Yes,Adidas
151,Youssef Ahmed,Female,?,BRA,73KG,European Cup,2015,90kg,99.8,?,N/A,Madrid Strength,N/A,?,None,None,Functional,Y,Under Armour
ath_151,Maria Rossi,Female,33,Spain,-96kg,Panamerican Games,9999,?,N/A,?,?,London Barbell,Unknown,13,Silver,World Record,CrossFit,N,Under Armour
,?,F,69,Japan,-55kg,Junior Championship,2023,0,193kg,N/A,?,CN Barcelona,Michael Johnson,N/A,Bronze,?,?,Y,Puma
,Miguel Santos,Male,?,Spain,73KG,National Open,2016,0,N/A,N/A,N/A,London Barbell,Li Zhang,0,N/A,?,N/A,?,Nike
ath_154,Unknown,Female,?,Spain,-73kg,European Cup,2010,113.3,?,?,?,Madrid Strength,N/A,?,None,None,Olympic,unknown,Eleiko
,Unknown,Female,?,Spain,-109kg,World Championship,2025,N/A,110kg,382.1,?,Beijing Barbell,?,3,Silver,World Record,N/A,No,Reebok
157,Li Wei,F,38,Japan,73KG,National Open,2022,?,163.2,?,91.4,London Barbell,Unknown,?,Bronze,None,Functional,unknown,Rogue
158,Sarah Johnson,unknown,34,China,73KG,Junior Championship,N/A,169kg,87kg,N/A,?,Cairo Strong,Unknown,0,Silver,?,Powerlifting,Y,Puma
ath_158,Miguel Santos,Male,?,CHN,-67kg,N/A,2016,?,88.9,N/A,78kg,Roma Lifting,Anna Müller,N/A,Bronze,N/A,CrossFit,No,unknown
ath_159,James Lee,M,32,Japan,-67kg,European Cup,2010,?,?,300kg,85.3,Cairo Strong,Carlos Ruiz,0,Bronze,?,N/A,Y,Eleiko
ath_160,Sarah Johnson,unknown,N/A,Italy,-73kg,?,2023,129kg,126.5,261.5,N/A,Berlin Power,Pedro López,N/A,?,N/A,?,unknown,Eleiko
,?,M,N/A,Germany,-96kg,Panamerican Games,9999,0,-1,372.4,66kg,London Barbell,Anna Müller,0,None,National Record,N/A,unknown,Nike
163,Sarah Johnson,unknown,24,Russia,N/A,World Championship,2018,111.7,N/A,?,N/A,unknown,?,2,?,World Record,CrossFit,unknown,Eleiko
,N/A,unknown,N/A,usa,-61kg,?,2023,?,123kg,300kg,?,Madrid Strength,Pedro López,?,None,None,?,?,Nike
165,Li Wei,F,45,China,-109kg,European Cup,2024,N/A,77kg,153.8,?,Beijing Barbell,?,?,None,World Record,Functional,Y,Eleiko
ath_165,Emma Brown,unknown,42,Unknown,N/A,Olympics 2020,2018,?,N/A,N/A,66kg,Roma Lifting,?,N/A,None,World Record,Olympic,?,N/A
167,?,F,23,Japan,-109kg,National Open,2016,161.8,160.4,?,70kg,Roma Lifting,Unknown,0,Bronze,?,Functional,Yes,unknown
ath_167,Li Wei,M,10,Italy,73KG,Junior Championship,2011,85.8,N/A,N/A,66kg,unknown,Li Zhang,0,?,Personal Best,Olympic,Yes,Puma
ath_168,Miguel Santos,F,37,China,-109kg,Continental Cup,N/A,173.4,N/A,355.0,N/A,Tokyo Lift Club,Pedro López,8,Bronze,National Record,Powerlifting,N,Rogue
