athlete_id,name,gender,age,country,category,competition,year,snatch_kg,clean_and_jerk_kg,total_kg,body_weight_kg,team,coach,event_rank,medal,record_status,lifting_style,injury_history,sponsor
ath_13,Maria Rossi,Female,68,France,-109kg,?,2018,0,78kg,300kg,80.6,Madrid Strength,Li Zhang,?,Silver,,CrossFit,unknown,Under Armour
15,,F,,Brazil,-109kg,Continental Cup,9999,,?,?,,unknown,Unknown,0,,National Record,?,N,Adidas
ath_15,Laura Gómez,F,,Germany,-67kg,?,2019,?,142kg,300kg,?,CN Barcelona,Carlos Ruiz,,Bronze,,CrossFit,Yes,unknown
17,John Smith,Male,,Brazil,+109kg,Continental Cup,2016,118.8,82.5,,,Beijing Barbell,Unknown,?,,World Record,CrossFit,?,unknown
ath_17,Maria Rossi,F,?,CHN,-67kg,European Cup,2021,?,?,300kg,81.3,Berlin Power,Michael Johnson,0,Gold,,CrossFit,Yes,unknown
,Carlos Ruiz,Female,?,China,+109kg,National Open,2025,?,126.4,?,,Beijing Barbell,Unknown,7,,Personal Best,Olympic,Y,
ath_19,Elena Petrova,F,39,spain,,World Championship,2019,,-1,?,?,Team USA,Anna Müller,12,Gold,World Record,Functional,Yes,Nike
,Carlos Ruiz,Female,35,BRA,73KG,,2018,0,?,,58kg,Madrid Strength,Pedro López,0,Gold,?,Olympic,?,Nike
ath_21,?,Female,,China,-109kg,Junior Championship,2014,?,,300kg,,Team USA,Anna Müller,12,Silver,National Record,Powerlifting,?,Rogue
23,Maria Rossi,M,42,USA,-55kg,Tokyo 2021,2018,155.4,?,,69kg,London Barbell,,,Bronze,,Olympic,Yes,Puma
ath_23,John Smith,Male,18,RUS,-61kg,Continental Cup,2015,90.7,-1,,?,Madrid Strength,Unknown,,?,National Record,Functional,Yes,Under Armour
25,Unknown,M,,Japan,+109kg,National Open,2020,159kg,110.9,300kg,?,Beijing Barbell,Li Zhang,15,?,?,Olympic,Y,Under Armour
ath_25,?,M,,CHN,-109kg,,?,,,199.2,124.5,CN Barcelona,Pedro López,0,Bronze,World Record,,Yes,Puma
ath_26,Elena Petrova,Male,44,BRA,-61kg,Tokyo 2021,2011,145kg,123.5,,132.4,Beijing Barbell,Li Zhang,,Bronze,National Record,CrossFit,Yes,Rogue
28,Unknown,Female,,China,,Junior Championship,2020,?,-1,300kg,,CN Barcelona,Unknown,,Gold,National Record,?,?,Reebok
ath_28,Unknown,M,39,spain,-81kg,Tokyo 2021,2024,157kg,,,,Roma Lifting,Anna Müller,0,Gold,,CrossFit,No,
30,Anna Kowalska,Male,?,Egypt,73KG,Continental Cup,2020,?,90kg,333.8,147.3,Team USA,Anna Müller,,Gold,National Record,?,unknown,Adidas
31,Carlos Ruiz,F,21,China,,,2010,?,,300kg,114.6,Beijing Barbell,Michael Johnson,17,Silver,,Powerlifting,unknown,
,Carlos Ruiz,unknown,52,spain,-73kg,Junior Championship,2012,159kg,-1,,,unknown,Unknown,2,Bronze,,Functional,Y,Puma
33,Miguel Santos,Male,?,Russia,-109kg,World Championship,2021,,?,?,,Madrid Strength,Li Zhang,0,,?,Powerlifting,Yes,
,Emma Brown,Female,?,USA,-67kg,?,?,0,,300kg,113.4,Team USA,Unknown,5,,Personal Best,,No,unknown
35,?,Female,40,Japan,-67kg,Olympics 2020,2021,?,?,300kg,59.3,Berlin Power,Unknown,0,?,National Record,Functional,Yes,Rogue
36,Maria Rossi,Male,,CHN,+109kg,Continental Cup,,?,124kg,?,,CN Barcelona,Carlos Ruiz,,Gold,World Record,?,Yes,
37,,Male,?,Italy,-109kg,European Cup,2022,144kg,,144.8,101.9,unknown,Pedro López,0,Silver,,Functional,Y,Rogue
ath_37,Youssef Ahmed,unknown,?,RUS,,Tokyo 2021,2019,0,-1,?,?,Berlin Power,Carlos Ruiz,?,Silver,National Record,Powerlifting,Y,unknown
ath_38,Youssef Ahmed,?,19,Germany,+109kg,Continental Cup,2022,?,152kg,300kg,,Roma Lifting,Unknown,,?,National Record,Olympic,N,unknown
40,,unknown,,Spain,-109kg,Junior Championship,,0,,261.5,,Tokyo Lift Club,Carlos Ruiz,1,,?,Functional,Yes,Eleiko
ath_40,Laura Gómez,F,28,RUS,+109kg,,,,,?,143.7,Cairo Strong,Anna Müller,15,,Personal Best,?,Yes,Rogue
,Laura Gómez,Male,30,USA,+109kg,World Championship,2020,0,,300kg,?,CN Barcelona,Li Zhang,?,Bronze,National Record,?,unknown,Under Armour
43,Li Wei,M,,Egypt,73KG,Continental Cup,2023,,-1,300kg,,Cairo Strong,Li Zhang,18,?,?,CrossFit,Yes,Nike
ath_43,Li Wei,M,?,USA,-61kg,Olympics 2020,2012,,-1,,?,London Barbell,Pedro López,?,Gold,Personal Best,?,Y,unknown
ath_44,Hiro Tanaka,?,62,CHN,73KG,National Open,2013,113kg,,,?,Madrid Strength,Anna Müller,0,Gold,,Functional,N,Rogue
,Li Wei,F,,Spain,-96kg,Junior Championship,,74kg,202kg,?,?,Berlin Power,Li Zhang,15,Bronze,National Record,Functional,?,
ath_46,John Smith,F,,usa,73KG,World Championship,2013,,161kg,?,85kg,Madrid Strength,Carlos Ruiz,0,,Personal Best,Olympic,unknown,Nike
ath_47,Carlos Ruiz,?,?,Brazil,-81kg,Junior Championship,2019,111kg,99kg,300kg,,Tokyo Lift Club,Unknown,0,Silver,,Powerlifting,N,unknown
,Maria Rossi,?,,Mexico,,Olympics 2020,2014,,76.5,,55kg,Berlin Power,,0,?,?,Functional,N,Nike
,Maria Rossi,Female,?,RUS,+109kg,Olympics 2020,2018,0,?,300kg,87.5,Berlin Power,Carlos Ruiz,,Gold,Personal Best,Olympic,N,Reebok
51,John Smith,M,51,Italy,-109kg,World Championship,?,?,?,,?,unknown,?,,Silver,National Record,Olympic,Yes,
52,Unknown,Female,?,Brazil,-73kg,National Open,2017,0,-1,,116kg,Tokyo Lift Club,Michael Johnson,17,,National Record,Functional,unknown,unknown
,Hiro Tanaka,unknown,,usa,73KG,Junior Championship,2016,142kg,-1,300kg,135.6,Berlin Power,?,,?,World Record,Functional,N,Reebok
54,Hiro Tanaka,Female,?,Italy,-55kg,Tokyo 2021,2018,,?,300kg,117kg,Cairo Strong,Pedro López,,Bronze,Personal Best,,unknown,Under Armour
,Anna Kowalska,Male,20,RUS,,,2025,122kg,,300kg,74kg,Cairo Strong,Michael Johnson,?,,,?,Yes,
,Youssef Ahmed,unknown,,Egypt,-73kg,Junior Championship,2017,93kg,181.3,?,109kg,unknown,Michael Johnson,7,Bronze,,?,No,Rogue
ath_56,Miguel Santos,unknown,31,Germany,-61kg,Olympics 2020,2013,75.0,,?,141.0,Roma Lifting,Carlos Ruiz,?,Silver,,?,N,Under Armour
,David Müller,Female,24,CHN,-109kg,World Championship,2013,165kg,115.8,?,82kg,Madrid Strength,,18,?,National Record,,unknown,Eleiko
ath_58,Anna Kowalska,unknown,18,Mexico,,?,2018,,-1,175.2,,Roma Lifting,Li Zhang,,Silver,,Powerlifting,Yes,Nike
,Youssef Ahmed,unknown,28,CHN,-55kg,World Championship,2015,141.3,?,,,Berlin Power,Pedro López,0,?,,Olympic,Y,unknown
,Youssef Ahmed,Female,42,usa,-61kg,World Championship,,?,88kg,300kg,114kg,Beijing Barbell,Pedro López,0,Bronze,,?,No,Puma
62,Li Wei,F,?,spain,-73kg,Panamerican Games,2010,165.6,168kg,300kg,?,Tokyo Lift Club,Li Zhang,19,Bronze,World Record,Olympic,?,Adidas
,Sarah Johnson,?,65,Mexico,-81kg,World Championship,2022,142.1,185.4,,?,Berlin Power,Pedro López,0,,Personal Best,,Y,Adidas
64,,F,20,Mexico,-55kg,European Cup,2011,0,?,,130.8,Cairo Strong,Pedro López,9,Silver,?,Olympic,?,unknown
,Anna Kowalska,unknown,,China,73KG,,?,?,,?,77kg,Cairo Strong,Unknown,0,,?,Functional,No,unknown
66,Carlos Ruiz,unknown,?,spain,-73kg,Olympics 2020,?,,-1,300kg,117.7,Team USA,Anna Müller,0,?,?,CrossFit,Y,
,Sofia López,M,?,Egypt,-61kg,European Cup,2015,?,-1,288.7,110.4,Team USA,Pedro López,,?,World Record,,?,Under Armour
ath_67,David Müller,unknown,?,Japan,-109kg,Junior Championship,2013,,-1,,,Cairo Strong,Anna Müller,,Gold,World Record,Powerlifting,unknown,Puma
69,Unknown,unknown,,Japan,-67kg,Continental Cup,2010,143.8,-1,?,?,unknown,Anna Müller,4,Bronze,?,Olympic,N,Puma
70,Miguel Santos,unknown,,Egypt,-81kg,Olympics 2020,2016,89.2,-1,?,?,Tokyo Lift Club,Pedro López,,Gold,Personal Best,,?,Puma
71,Laura Gómez,?,,Spain,-73kg,?,2011,?,,?,,Team USA,Unknown,7,,?,Powerlifting,Y,Reebok
,Elena Petrova,Male,17,Egypt,-109kg,Panamerican Games,2016,0,,?,?,London Barbell,?,0,Silver,?,Functional,?,Nike
ath_72,Unknown,Female,?,USA,-109kg,Junior Championship,2011,0,102kg,300kg,127.9,unknown,Li Zhang,?,?,,Functional,Yes,Rogue
74,Laura Gómez,unknown,,CHN,+109kg,,2016,112.0,74kg,300kg,74.0,Beijing Barbell,Anna Müller,?,Gold,World Record,,Y,Nike
75,John Smith,F,,RUS,-61kg,Olympics 2020,2022,0,200.0,309.1,?,CN Barcelona,,0,Silver,National Record,Functional,unknown,unknown
ath_75,Youssef Ahmed,Female,32,Italy,-67kg,Olympics 2020,2015,133kg,?,?,105.3,CN Barcelona,Unknown,,Gold,National Record,CrossFit,?,Nike
,Maria Rossi,Male,14,France,-55kg,Tokyo 2021,2013,168kg,-1,333.7,85.6,Tokyo Lift Club,,,,World Record,,Yes,unknown
ath_77,,Male,,RUS,-67kg,Olympics 2020,2017,146.8,71kg,,83kg,unknown,,?,,,Powerlifting,No,Puma
ath_78,Maria Rossi,M,65,France,-61kg,National Open,2019,135.1,-1,?,111kg,Roma Lifting,Michael Johnson,,,,Functional,Yes,Eleiko
,Carlos Ruiz,M,?,Brazil,-81kg,Olympics 2020,2013,0,203kg,184.7,50.0,Berlin Power,,?,Silver,,Functional,?,Eleiko
,James Lee,Female,?,spain,-67kg,,2019,?,170kg,,91.1,CN Barcelona,Carlos Ruiz,,Bronze,,Powerlifting,Y,unknown
ath_81,Li Wei,unknown,,Italy,73KG,National Open,2010,116kg,215.3,,99.9,Team USA,Anna Müller,12,Bronze,?,,Yes,Adidas
,Carlos Ruiz,Female,?,Egypt,-96kg,,2017,167.8,,366.8,97.1,London Barbell,Li Zhang,0,?,Personal Best,Olympic,Y,Rogue
ath_83,?,Male,?,spain,+109kg,Junior Championship,,,110.1,?,112.7,London Barbell,Pedro López,?,Bronze,World Record,Powerlifting,unknown,unknown
ath_84,James Lee,Female,?,usa,-109kg,Olympics 2020,2012,83kg,,?,100kg,Beijing Barbell,Anna Müller,,,National Record,Powerlifting,Yes,Under Armour
ath_85,Elena Petrova,F,?,Italy,-67kg,Olympics 2020,,50kg,,,58.4,Cairo Strong,Michael Johnson,?,Bronze,,Olympic,?,Puma
87,James Lee,Female,27,usa,+109kg,,2018,?,,300kg,59kg,Beijing Barbell,,0,Gold,World Record,Olympic,unknown,unknown
88,David Müller,?,63,Germany,-55kg,Junior Championship,2012,0,111kg,300kg,112kg,CN Barcelona,Pedro López,?,,?,CrossFit,unknown,Nike
89,Anna Kowalska,Male,?,Italy,,,2014,0,?,?,98.7,Madrid Strength,Pedro López,?,Gold,Personal Best,Functional,N,Nike
90,Sofia López,F,39,BRA,-96kg,Continental Cup,2010,,?,?,84kg,Cairo Strong,Carlos Ruiz,11,?,,Powerlifting,unknown,Under Armour
91,Youssef Ahmed,?,,Russia,-61kg,Continental Cup,2011,,,?,119kg,Roma Lifting,Michael Johnson,,Silver,,,Yes,Adidas
ath_91,Elena Petrova,M,45,Japan,-55kg,European Cup,2017,93kg,?,?,?,Team USA,Anna Müller,0,,World Record,Powerlifting,?,unknown
,Elena Petrova,F,13,Unknown,+109kg,Tokyo 2021,2013,,-1,,,CN Barcelona,,?,,National Record,Olympic,N,
ath_93,Youssef Ahmed,unknown,51,Unknown,73KG,National Open,2010,78kg,?,300kg,,Team USA,Li Zhang,?,Silver,,,N,Nike
ath_94,John Smith,F,27,Egypt,-67kg,Tokyo 2021,2021,,157kg,300kg,87.7,Roma Lifting,Unknown,2,Gold,World Record,Functional,N,Under Armour
ath_95,Hiro Tanaka,Female,?,Egypt,-73kg,National Open,2012,?,?,,?,Beijing Barbell,Pedro López,,Bronze,,,unknown,Reebok
ath_96,James Lee,F,,usa,-81kg,Panamerican Games,2017,130kg,-1,300kg,88kg,Madrid Strength,Unknown,?,Bronze,National Record,?,Yes,Adidas
,Miguel Santos,M,57,USA,73KG,Tokyo 2021,?,?,-1,?,62.6,CN Barcelona,,?,?,Personal Best,?,Yes,Rogue
99,Hiro Tanaka,unknown,20,France,-73kg,Junior Championship,2011,,,?,,London Barbell,Unknown,?,Bronze,,?,Y,Puma
100,Sofia López,Female,?,USA,-55kg,Tokyo 2021,2018,55.2,99.3,256.8,?,CN Barcelona,Anna Müller,,?,World Record,CrossFit,N,Eleiko
ath_100,Elena Petrova,M,?,Italy,-96kg,European Cup,2015,171kg,96.2,130.7,120kg,London Barbell,Anna Müller,,Silver,World Record,Powerlifting,unknown,
102,Emma Brown,F,46,Brazil,73KG,,2013,0,-1,?,111.5,Beijing Barbell,Carlos Ruiz,20,Gold,Personal Best,Olympic,?,Adidas
ath_102,Laura Gómez,Female,63,Italy,-96kg,?,2022,,190kg,141.9,147.9,London Barbell,Pedro López,?,Bronze,,Functional,No,Puma
,,unknown,?,RUS,-81kg,?,2024,0,,300kg,?,London Barbell,,0,,?,?,Y,Puma
,?,M,?,usa,-73kg,Continental Cup,2010,0,,?,,CN Barcelona,Carlos Ruiz,,,,Functional,N,unknown
,Anna Kowalska,unknown,21,spain,,,2017,69.3,?,?,122.9,unknown,Carlos Ruiz,?,Bronze,,Functional,Y,
,James Lee,M,45,Brazil,,Continental Cup,2017,103.7,71.8,250.2,129.1,London Barbell,Carlos Ruiz,0,,World Record,,No,
ath_107,Miguel Santos,unknown,52,USA,+109kg,,2011,0,202.6,?,111kg,Roma Lifting,Anna Müller,?,Bronze,National Record,CrossFit,?,Puma
,Li Wei,F,27,Mexico,-67kg,Continental Cup,2017,0,161.3,300kg,108.2,Beijing Barbell,,0,?,National Record,Olympic,Y,Reebok
110,David Müller,M,?,RUS,-55kg,?,2013,174.3,?,?,109.0,Tokyo Lift Club,Carlos Ruiz,0,,National Record,?,No,Puma
,Unknown,F,21,Mexico,-73kg,Continental Cup,2025,,,300kg,64kg,Berlin Power,Carlos Ruiz,?,?,Personal Best,Functional,unknown,Puma
ath_111,?,unknown,37,BRA,73KG,Olympics 2020,2023,?,,336.1,58kg,Tokyo Lift Club,Li Zhang,,Silver,National Record,Olympic,N,Nike
,Emma Brown,unknown,46,CHN,-61kg,Tokyo 2021,2024,?,?,368.4,?,Team USA,Unknown,?,,Personal Best,Olympic,Yes,Adidas
114,James Lee,Male,,Mexico,-73kg,National Open,9999,?,200kg,300kg,127.9,Tokyo Lift Club,?,0,?,?,CrossFit,Y,Under Armour
ath_114,Anna Kowalska,Female,,Russia,-73kg,European Cup,?,?,?,300kg,100.4,Tokyo Lift Club,,4,,,Olympic,?,Rogue
ath_115,?,F,,BRA,-67kg,National Open,2021,72kg,-1,300kg,,Madrid Strength,Michael Johnson,,,?,Olympic,Yes,
,Sofia López,Female,20,USA,-55kg,?,2015,?,184kg,318.3,64kg,Madrid Strength,Li Zhang,11,Bronze,World Record,Powerlifting,?,Puma
118,Laura Gómez,unknown,?,Egypt,,Tokyo 2021,2014,?,191kg,300kg,,Beijing Barbell,,,,World Record,Olympic,Y,Rogue
ath_118,Li Wei,unknown,,Brazil,+109kg,World Championship,2024,?,206kg,193.9,108.4,Beijing Barbell,Michael Johnson,20,Bronze,World Record,,unknown,Eleiko
ath_119,David Müller,unknown,,Spain,-81kg,World Championship,2010,105kg,170kg,174.2,111.4,Roma Lifting,Unknown,0,Silver,National Record,CrossFit,unknown,Puma
121,Carlos Ruiz,F,18,China,73KG,?,?,?,?,374.8,,Team USA,Pedro López,0,?,Personal Best,,No,Adidas
ath_121,Anna Kowalska,M,35,Unknown,+109kg,Continental Cup,2019,?,122kg,,81.6,Roma Lifting,Li Zhang,,?,?,CrossFit,No,unknown
,Anna Kowalska,F,,usa,+109kg,European Cup,9999,151.2,125kg,,,CN Barcelona,Unknown,7,?,Personal Best,,?,Rogue
,David Müller,Male,,Italy,,Junior Championship,2021,0,,,95.8,Tokyo Lift Club,Michael Johnson,10,Bronze,World Record,,Yes,Under Armour
ath_124,Youssef Ahmed,Male,?,Japan,-55kg,Tokyo 2021,,154.7,-1,,,London Barbell,Pedro López,,Bronze,World Record,Functional,N,Puma
,Youssef Ahmed,Male,,Spain,-61kg,,9999,?,?,374.9,?,Berlin Power,?,,Bronze,Personal Best,Olympic,No,unknown
ath_126,Sofia López,F,28,Unknown,-67kg,National Open,2018,,,,?,Berlin Power,Carlos Ruiz,,,,Olympic,unknown,Reebok
,Emma Brown,unknown,39,Spain,-109kg,Olympics 2020,2021,0,-1,300kg,?,Berlin Power,Pedro López,0,,World Record,Powerlifting,unknown,
,John Smith,Female,,Germany,-73kg,,2011,0,-1,?,,unknown,Li Zhang,,?,National Record,Functional,unknown,
130,Emma Brown,?,40,Unknown,+109kg,?,2015,85.7,171.9,182.5,84.1,Beijing Barbell,,?,,,,N,
,John Smith,Male,,Italy,-109kg,Junior Championship,2022,102.1,,308.5,101.9,CN Barcelona,,,?,National Record,,unknown,Reebok
ath_131,David Müller,M,,Unknown,-81kg,Continental Cup,2020,?,,346.2,75kg,Team USA,,?,?,?,?,?,Puma
ath_132,Anna Kowalska,Female,54,usa,+109kg,Olympics 2020,9999,151.0,181kg,?,80.9,London Barbell,?,0,Gold,?,Functional,unknown,Puma
ath_133,James Lee,M,,Germany,-61kg,European Cup,2016,126kg,160kg,,70kg,Beijing Barbell,?,0,Silver,,?,unknown,Rogue
ath_134,Laura Gómez,M,23,China,,National Open,2021,?,197.7,300kg,,Roma Lifting,Li Zhang,9,Bronze,,,unknown,Rogue
ath_135,Hiro Tanaka,?,?,Unknown,-73kg,National Open,2015,?,186kg,,?,Berlin Power,Carlos Ruiz,7,,?,Functional,N,Nike
ath_136,,?,41,Germany,73KG,Tokyo 2021,2017,,144kg,?,100kg,Berlin Power,Michael Johnson,0,,National Record,CrossFit,unknown,Reebok
138,,?,56,Unknown,-55kg,Panamerican Games,2017,0,89.0,300kg,83kg,Madrid Strength,?,?,?,National Record,CrossFit,No,Rogue
ath_138,,?,?,USA,-67kg,World Championship,2018,0,?,?,102kg,London Barbell,Unknown,,Bronze,?,Olympic,Y,Puma
ath_139,David Müller,M,?,Mexico,+109kg,World Championship,2019,137kg,?,?,,Cairo Strong,Anna Müller,0,Silver,World Record,Olympic,Yes,Adidas
,Elena Petrova,Female,34,USA,-96kg,Olympics 2020,2021,0,?,,84kg,Madrid Strength,Li Zhang,0,Gold,?,CrossFit,?,
,Maria Rossi,Female,40,usa,-81kg,World Championship,2015,,,360.8,,unknown,?,,,Personal Best,Powerlifting,?,Rogue
,Carlos Ruiz,unknown,,spain,-61kg,Junior Championship,2014,,?,387.9,?,Tokyo Lift Club,,5,Bronze,Personal Best,?,N,Adidas
144,Anna Kowalska,?,?,Japan,-55kg,National Open,,123.2,199kg,?,116kg,Beijing Barbell,Anna Müller,,Gold,National Record,Functional,No,Nike
ath_144,James Lee,F,30,Egypt,-61kg,World Championship,2021,?,110kg,,?,Cairo Strong,Anna Müller,0,Silver,,?,No,Adidas
ath_145,Elena Petrova,Female,,France,73KG,Olympics 2020,2024,?,,?,60.3,Roma Lifting,Pedro López,17,Silver,World Record,Functional,N,Reebok
147,Miguel Santos,?,48,France,,,2011,0,,308.9,,Team USA,Unknown,0,?,World Record,Functional,?,Reebok
,Hiro Tanaka,unknown,,Russia,+109kg,Junior Championship,2012,,202.5,,,Roma Lifting,,0,?,Personal Best,Powerlifting,No,Eleiko
149,James Lee,M,,RUS,-81kg,Continental Cup,2021,,95.6,?,,Tokyo Lift Club,Anna Müller,16,Bronze,?,Powerlifting,No,Puma
ath_149,Hiro Tanaka,F,,RUS,,European Cup,2016,?,,310.6,,Tokyo Lift Club,,,,Personal Best,CrossFit,Yes,Adidas
151,Youssef Ahmed,Female,?,BRA,73KG,European Cup,2015,90kg,99.8,?,,Madrid Strength,,?,,,Functional,Y,Under Armour
ath_151,Maria Rossi,Female,33,Spain,-96kg,Panamerican Games,9999,?,,?,?,London Barbell,Unknown,13,Silver,World Record,CrossFit,N,Under Armour
,?,F,69,Japan,-55kg,Junior Championship,2023,0,193kg,,?,CN Barcelona,Michael Johnson,,Bronze,?,?,Y,Puma
,Miguel Santos,Male,?,Spain,73KG,National Open,2016,0,,,,London Barbell,Li Zhang,0,,?,,?,Nike
ath_154,Unknown,Female,?,Spain,-73kg,European Cup,2010,113.3,?,?,?,Madrid Strength,,?,,,Olympic,unknown,Eleiko
,Unknown,Female,?,Spain,-109kg,World Championship,2025,,110kg,382.1,?,Beijing Barbell,?,3,Silver,World Record,,No,Reebok
157,Li Wei,F,38,Japan,73KG,National Open,2022,?,163.2,?,91.4,London Barbell,Unknown,?,Bronze,,Functional,unknown,Rogue
158,Sarah Johnson,unknown,34,China,73KG,Junior Championship,,169kg,87kg,,?,Cairo Strong,Unknown,0,Silver,?,Powerlifting,Y,Puma
ath_158,Miguel Santos,Male,?,CHN,-67kg,,2016,?,88.9,,78kg,Roma Lifting,Anna Müller,,Bronze,,CrossFit,No,unknown
ath_159,James Lee,M,32,Japan,-67kg,European Cup,2010,?,?,300kg,85.3,Cairo Strong,Carlos Ruiz,0,Bronze,?,,Y,Eleiko
ath_160,Sarah Johnson,unknown,,Italy,-73kg,?,2023,129kg,126.5,261.5,,Berlin Power,Pedro López,,?,,?,unknown,Eleiko
,?,M,,Germany,-96kg,Panamerican Games,9999,0,-1,372.4,66kg,London Barbell,Anna Müller,0,,National Record,,unknown,Nike
163,Sarah Johnson,unknown,24,Russia,,World Championship,2018,111.7,,?,,unknown,?,2,?,World Record,CrossFit,unknown,Eleiko
,,unknown,,usa,-61kg,?,2023,?,123kg,300kg,?,Madrid Strength,Pedro López,?,,,?,?,Nike
165,Li Wei,F,45,China,-109kg,European Cup,2024,,77kg,153.8,?,Beijing Barbell,?,?,,World Record,Functional,Y,Eleiko
ath_165,Emma Brown,unknown,42,Unknown,,Olympics 2020,2018,?,,,66kg,Roma Lifting,?,,,World Record,Olympic,?,
167,?,F,23,Japan,-109kg,National Open,2016,161.8,160.4,?,70kg,Roma Lifting,Unknown,0,Bronze,?,Functional,Yes,unknown
ath_167,Li Wei,M,10,Italy,73KG,Junior Championship,2011,85.8,,,66kg,unknown,Li Zhang,0,?,Personal Best,Olympic,Yes,Puma
ath_168,Miguel Santos,F,37,China,-109kg,Continental Cup,,173.4,,355.0,,Tokyo Lift Club,Pedro López,8,Bronze,National Record,Powerlifting,N,Rogue
170,,Female,26,Brazil,-81kg,Tokyo 2021,2016,?,83.7,?,99.0,Cairo Strong,Unknown,0,Silver,Personal Best,,unknown,Rogue
171,,Female,28,Mexico,+109kg,World Championship,,?,184.4,,,London Barbell,Anna Müller,4,Gold,Personal Best,Powerlifting,unknown,Nike
,Elena Petrova,F,28,Japan,,,2021,0,142kg,300kg,?,Madrid Strength,Anna Müller,0,,World Record,,unknown,Eleiko
,?,Female,41,China,+109kg,World Championship,2019,100.8,-1,189.4,?,unknown,Carlos Ruiz,,Silver,?,Functional,Y,Adidas
ath_173,Anna Kowalska,M,?,RUS,,National Open,2013,?,143kg,246.2,,Madrid Strength,Pedro López,?,,World Record,?,Yes,Puma
ath_174,Maria Rossi,M,49,USA,-67kg,European Cup,,,?,?,104.2,Tokyo Lift Club,Pedro López,,Silver,?,Olympic,unknown,Rogue
,Laura Gómez,M,?,Spain,-61kg,Olympics 2020,2016,,,185.4,?,CN Barcelona,?,0,,Personal Best,Olympic,unknown,Reebok
,Sofia López,F,?,RUS,-81kg,,2025,115kg,?,,,Team USA,Pedro López,6,,,?,unknown,Nike
178,Li Wei,unknown,?,USA,-67kg,,2014,0,,156.7,84kg,London Barbell,Michael Johnson,0,,World Record,Powerlifting,?,Reebok
179,Miguel Santos,?,20,China,-67kg,Junior Championship,2025,?,,?,138.1,London Barbell,Unknown,,Gold,National Record,?,unknown,Under Armour
180,Miguel Santos,Female,23,France,-61kg,,2021,?,,,,Berlin Power,Unknown,,Silver,?,Functional,N,unknown
ath_180,Anna Kowalska,M,,BRA,-109kg,Tokyo 2021,2010,?,?,,?,Cairo Strong,Michael Johnson,0,?,?,CrossFit,Y,Reebok
182,Anna Kowalska,Male,?,Italy,-109kg,,2020,?,139kg,248.4,,Team USA,,,?,World Record,CrossFit,Y,Under Armour
,James Lee,unknown,,Spain,-96kg,Junior Championship,2010,0,114.2,?,?,Roma Lifting,Unknown,15,,Personal Best,CrossFit,Yes,Puma
184,James Lee,unknown,23,Spain,-109kg,World Championship,9999,?,?,300kg,60kg,Cairo Strong,Unknown,,Gold,,?,unknown,unknown
185,Sofia López,F,,RUS,+109kg,National Open,2014,165kg,136.2,300kg,139.5,Team USA,Anna Müller,8,Gold,,CrossFit,unknown,Eleiko
ath_185,,F,,Mexico,-81kg,Continental Cup,2014,?,116kg,300kg,?,Berlin Power,?,0,Bronze,Personal Best,?,?,Eleiko
187,James Lee,Male,29,Italy,73KG,Junior Championship,2013,,?,,?,Madrid Strength,Anna Müller,?,Gold,World Record,Olympic,No,Adidas
