athlete_id,name,gender,age,country,category,competition,year,snatch_kg,clean_and_jerk_kg,total_kg,body_weight_kg,team,coach,event_rank,medal,record_status,lifting_style,injury_history,sponsor
,carlos ruiz,,52.0,spain,-73kg,junior championship,2012.0,159.0,145.0,300.0,90.0,,,2.0,bronze,,functional,y,puma
33,miguel santos,male,34.0,russia,-109kg,world championship,2021.0,84.0,145.0,300.0,90.0,madrid strength,li zhang,0.0,,,powerlifting,yes,
,emma brown,female,34.0,usa,-67kg,,2015.0,0.0,145.0,300.0,113.4,team usa,,5.0,,personal best,,no,
35,,female,40.0,japan,-67kg,olympics 2020,2021.0,84.0,145.0,300.0,59.3,berlin power,,0.0,,national record,functional,yes,rogue
36,maria rossi,male,34.0,chn,+109kg,continental cup,2015.0,84.0,124.0,300.0,90.0,cn barcelona,carlos ruiz,,gold,world record,,yes,
37,,male,34.0,italy,-109kg,european cup,2022.0,144.0,145.0,144.8,101.9,,pedro lópez,0.0,silver,,functional,y,rogue
ath_37,youssef ahmed,,34.0,rus,,tokyo 2021,2019.0,0.0,145.0,300.0,90.0,berlin power,carlos ruiz,,silver,national record,powerlifting,y,
ath_38,youssef ahmed,,19.0,germany,+109kg,continental cup,2022.0,84.0,152.0,300.0,90.0,roma lifting,,,,national record,olympic,n,
40,,,34.0,spain,-109kg,junior championship,2015.0,0.0,145.0,261.5,90.0,tokyo lift club,carlos ruiz,1.0,,,functional,yes,eleiko
ath_40,laura gómez,f,28.0,rus,+109kg,,2015.0,84.0,145.0,300.0,143.7,cairo strong,anna müller,15.0,,personal best,,yes,rogue
,laura gómez,male,30.0,usa,+109kg,world championship,2020.0,0.0,145.0,300.0,90.0,cn barcelona,li zhang,,bronze,national record,,,under armour
43,li wei,m,34.0,egypt,73kg,continental cup,2023.0,84.0,145.0,300.0,90.0,cairo strong,li zhang,18.0,,,crossfit,yes,nike
ath_43,li wei,m,34.0,usa,-61kg,olympics 2020,2012.0,84.0,145.0,300.0,90.0,london barbell,pedro lópez,,gold,personal best,,y,
ath_44,hiro tanaka,,62.0,chn,73kg,national open,2013.0,113.0,145.0,300.0,90.0,madrid strength,anna müller,0.0,gold,,functional,n,rogue
,li wei,f,34.0,spain,-96kg,junior championship,2015.0,74.0,202.0,300.0,90.0,berlin power,li zhang,15.0,bronze,national record,functional,,
ath_46,john smith,f,34.0,usa,73kg,world championship,2013.0,84.0,161.0,300.0,85.0,madrid strength,carlos ruiz,0.0,,personal best,olympic,,nike
ath_47,carlos ruiz,,34.0,brazil,-81kg,junior championship,2019.0,111.0,99.0,300.0,90.0,tokyo lift club,,0.0,silver,,powerlifting,n,
,maria rossi,,34.0,mexico,,olympics 2020,2014.0,84.0,76.5,300.0,55.0,berlin power,,0.0,,,functional,n,nike
,maria rossi,female,34.0,rus,+109kg,olympics 2020,2018.0,0.0,145.0,300.0,87.5,berlin power,carlos ruiz,,gold,personal best,olympic,n,reebok
51,john smith,m,51.0,italy,-109kg,world championship,2015.0,84.0,145.0,300.0,90.0,,,,silver,national record,olympic,yes,
52,,female,34.0,brazil,-73kg,national open,2017.0,0.0,145.0,300.0,116.0,tokyo lift club,michael johnson,17.0,,national record,functional,,
,hiro tanaka,,34.0,usa,73kg,junior championship,2016.0,142.0,145.0,300.0,135.6,berlin power,,,,world record,functional,n,reebok
54,hiro tanaka,female,34.0,italy,-55kg,tokyo 2021,2018.0,84.0,145.0,300.0,117.0,cairo strong,pedro lópez,,bronze,personal best,,,under armour
,anna kowalska,male,20.0,rus,,,2025.0,122.0,145.0,300.0,74.0,cairo strong,michael johnson,,,,,yes,
,youssef ahmed,,34.0,egypt,-73kg,junior championship,2017.0,93.0,181.3,300.0,109.0,,michael johnson,7.0,bronze,,,no,rogue
ath_56,miguel santos,,31.0,germany,-61kg,olympics 2020,2013.0,75.0,145.0,300.0,141.0,roma lifting,carlos ruiz,,silver,,,n,under armour
,david müller,female,24.0,chn,-109kg,world championship,2013.0,165.0,115.8,300.0,82.0,madrid strength,,18.0,,national record,,,eleiko
ath_58,anna kowalska,,18.0,mexico,,,2018.0,84.0,145.0,175.2,90.0,roma lifting,li zhang,,silver,,powerlifting,yes,nike
,youssef ahmed,,28.0,chn,-55kg,world championship,2015.0,141.3,145.0,300.0,90.0,berlin power,pedro lópez,0.0,,,olympic,y,
,youssef ahmed,female,42.0,usa,-61kg,world championship,2015.0,84.0,88.0,300.0,114.0,beijing barbell,pedro lópez,0.0,bronze,,,no,puma
62,li wei,f,34.0,spain,-73kg,panamerican games,2010.0,165.6,168.0,300.0,90.0,tokyo lift club,li zhang,19.0,bronze,world record,olympic,,adidas
,sarah johnson,,65.0,mexico,-81kg,world championship,2022.0,142.1,185.4,300.0,90.0,berlin power,pedro lópez,0.0,,personal best,,y,adidas
64,,f,20.0,mexico,-55kg,european cup,2011.0,0.0,145.0,300.0,130.8,cairo strong,pedro lópez,9.0,silver,,olympic,,
,anna kowalska,,34.0,china,73kg,,2015.0,84.0,145.0,300.0,77.0,cairo strong,,0.0,,,functional,no,
66,carlos ruiz,,34.0,spain,-73kg,olympics 2020,2015.0,84.0,145.0,300.0,117.7,team usa,anna müller,0.0,,,crossfit,y,
,sofia lópez,m,34.0,egypt,-61kg,european cup,2015.0,84.0,145.0,288.7,110.4,team usa,pedro lópez,,,world record,,,under armour
ath_67,david müller,,34.0,japan,-109kg,junior championship,2013.0,84.0,145.0,300.0,90.0,cairo strong,anna müller,,gold,world record,powerlifting,,puma
69,,,34.0,japan,-67kg,continental cup,2010.0,143.8,145.0,300.0,90.0,,anna müller,4.0,bronze,,olympic,n,puma
70,miguel santos,,34.0,egypt,-81kg,olympics 2020,2016.0,89.2,145.0,300.0,90.0,tokyo lift club,pedro lópez,,gold,personal best,,,puma
71,laura gómez,,34.0,spain,-73kg,,2011.0,84.0,145.0,300.0,90.0,team usa,,7.0,,,powerlifting,y,reebok
,elena petrova,male,17.0,egypt,-109kg,panamerican games,2016.0,0.0,145.0,300.0,90.0,london barbell,,0.0,silver,,functional,,nike
ath_72,,female,34.0,usa,-109kg,junior championship,2011.0,0.0,102.0,300.0,127.9,,li zhang,,,,functional,yes,rogue
74,laura gómez,,34.0,chn,+109kg,,2016.0,112.0,74.0,300.0,74.0,beijing barbell,anna müller,,gold,world record,,y,nike
75,john smith,f,34.0,rus,-61kg,olympics 2020,2022.0,0.0,200.0,309.1,90.0,cn barcelona,,0.0,silver,national record,functional,,
ath_75,youssef ahmed,female,32.0,italy,-67kg,olympics 2020,2015.0,133.0,145.0,300.0,105.3,cn barcelona,,,gold,national record,crossfit,,nike
,maria rossi,male,14.0,france,-55kg,tokyo 2021,2013.0,168.0,145.0,333.7,85.6,tokyo lift club,,,,world record,,yes,
ath_77,,male,34.0,rus,-67kg,olympics 2020,2017.0,146.8,71.0,300.0,83.0,,,,,,powerlifting,no,puma
ath_78,maria rossi,m,65.0,france,-61kg,national open,2019.0,135.1,145.0,300.0,111.0,roma lifting,michael johnson,,,,functional,yes,eleiko
,carlos ruiz,m,34.0,brazil,-81kg,olympics 2020,2013.0,0.0,203.0,184.7,50.0,berlin power,,,silver,,functional,,eleiko
,james lee,female,34.0,spain,-67kg,,2019.0,84.0,170.0,300.0,91.1,cn barcelona,carlos ruiz,,bronze,,powerlifting,y,
ath_81,li wei,,34.0,italy,73kg,national open,2010.0,116.0,215.3,300.0,99.9,team usa,anna müller,12.0,bronze,,,yes,adidas
,carlos ruiz,female,34.0,egypt,-96kg,,2017.0,167.8,145.0,366.8,97.1,london barbell,li zhang,0.0,,personal best,olympic,y,rogue
ath_83,,male,34.0,spain,+109kg,junior championship,2015.0,84.0,110.1,300.0,112.7,london barbell,pedro lópez,,bronze,world record,powerlifting,,
ath_84,james lee,female,34.0,usa,-109kg,olympics 2020,2012.0,83.0,145.0,300.0,100.0,beijing barbell,anna müller,,,national record,powerlifting,yes,under armour
ath_85,elena petrova,f,34.0,italy,-67kg,olympics 2020,2015.0,50.0,145.0,300.0,58.4,cairo strong,michael johnson,,bronze,,olympic,,puma
87,james lee,female,27.0,usa,+109kg,,2018.0,84.0,145.0,300.0,59.0,beijing barbell,,0.0,gold,world record,olympic,,
88,david müller,,63.0,germany,-55kg,junior championship,2012.0,0.0,111.0,300.0,112.0,cn barcelona,pedro lópez,,,,crossfit,,nike
89,anna kowalska,male,34.0,italy,,,2014.0,0.0,145.0,300.0,98.7,madrid strength,pedro lópez,,gold,personal best,functional,n,nike
90,sofia lópez,f,39.0,bra,-96kg,continental cup,2010.0,84.0,145.0,300.0,84.0,cairo strong,carlos ruiz,11.0,,,powerlifting,,under armour
91,youssef ahmed,,34.0,russia,-61kg,continental cup,2011.0,84.0,145.0,300.0,119.0,roma lifting,michael johnson,,silver,,,yes,adidas
ath_91,elena petrova,m,45.0,japan,-55kg,european cup,2017.0,93.0,145.0,300.0,90.0,team usa,anna müller,0.0,,world record,powerlifting,,
,elena petrova,f,13.0,,+109kg,tokyo 2021,2013.0,84.0,145.0,300.0,90.0,cn barcelona,,,,national record,olympic,n,
ath_93,youssef ahmed,,51.0,,73kg,national open,2010.0,78.0,145.0,300.0,90.0,team usa,li zhang,,silver,,,n,nike
ath_94,john smith,f,27.0,egypt,-67kg,tokyo 2021,2021.0,84.0,157.0,300.0,87.7,roma lifting,,2.0,gold,world record,functional,n,under armour
ath_95,hiro tanaka,female,34.0,egypt,-73kg,national open,2012.0,84.0,145.0,300.0,90.0,beijing barbell,pedro lópez,,bronze,,,,reebok
ath_96,james lee,f,34.0,usa,-81kg,panamerican games,2017.0,130.0,145.0,300.0,88.0,madrid strength,,,bronze,national record,,yes,adidas
,miguel santos,m,57.0,usa,73kg,tokyo 2021,2015.0,84.0,145.0,300.0,62.6,cn barcelona,,,,personal best,,yes,rogue
99,hiro tanaka,,20.0,france,-73kg,junior championship,2011.0,84.0,145.0,300.0,90.0,london barbell,,,bronze,,,y,puma
100,sofia lópez,female,34.0,usa,-55kg,tokyo 2021,2018.0,55.2,99.3,256.8,90.0,cn barcelona,anna müller,,,world record,crossfit,n,eleiko
ath_100,elena petrova,m,34.0,italy,-96kg,european cup,2015.0,171.0,96.2,130.7,120.0,london barbell,anna müller,,silver,world record,powerlifting,,
102,emma brown,f,46.0,brazil,73kg,,2013.0,0.0,145.0,300.0,111.5,beijing barbell,carlos ruiz,20.0,gold,personal best,olympic,,adidas
ath_102,laura gómez,female,63.0,italy,-96kg,,2022.0,84.0,190.0,141.9,147.9,london barbell,pedro lópez,,bronze,,functional,no,puma
,,,34.0,rus,-81kg,,2024.0,0.0,145.0,300.0,90.0,london barbell,,0.0,,,,y,puma
,,m,34.0,usa,-73kg,continental cup,2010.0,0.0,145.0,300.0,90.0,cn barcelona,carlos ruiz,,,,functional,n,
,anna kowalska,,21.0,spain,,,2017.0,69.3,145.0,300.0,122.9,,carlos ruiz,,bronze,,functional,y,
,james lee,m,45.0,brazil,,continental cup,2017.0,103.7,71.8,250.2,129.1,london barbell,carlos ruiz,0.0,,world record,,no,
ath_107,miguel santos,,52.0,usa,+109kg,,2011.0,0.0,202.6,300.0,111.0,roma lifting,anna müller,,bronze,national record,crossfit,,puma
,li wei,f,27.0,mexico,-67kg,continental cup,2017.0,0.0,161.3,300.0,108.2,beijing barbell,,0.0,,national record,olympic,y,reebok
110,david müller,m,34.0,rus,-55kg,,2013.0,174.3,145.0,300.0,109.0,tokyo lift club,carlos ruiz,0.0,,national record,,no,puma
,,f,21.0,mexico,-73kg,continental cup,2025.0,84.0,145.0,300.0,64.0,berlin power,carlos ruiz,,,personal best,functional,,puma
ath_111,,,37.0,bra,73kg,olympics 2020,2023.0,84.0,145.0,336.1,58.0,tokyo lift club,li zhang,,silver,national record,olympic,n,nike
,emma brown,,46.0,chn,-61kg,tokyo 2021,2024.0,84.0,145.0,368.4,90.0,team usa,,,,personal best,olympic,yes,adidas
114,james lee,male,34.0,mexico,-73kg,national open,2015.0,84.0,200.0,300.0,127.9,tokyo lift club,,0.0,,,crossfit,y,under armour
ath_114,anna kowalska,female,34.0,russia,-73kg,european cup,2015.0,84.0,145.0,300.0,100.4,tokyo lift club,,4.0,,,olympic,,rogue
ath_115,,f,34.0,bra,-67kg,national open,2021.0,72.0,145.0,300.0,90.0,madrid strength,michael johnson,,,,olympic,yes,
,sofia lópez,female,20.0,usa,-55kg,,2015.0,84.0,184.0,318.3,64.0,madrid strength,li zhang,11.0,bronze,world record,powerlifting,,puma
118,laura gómez,,34.0,egypt,,tokyo 2021,2014.0,84.0,191.0,300.0,90.0,beijing barbell,,,,world record,olympic,y,rogue
ath_118,li wei,,34.0,brazil,+109kg,world championship,2024.0,84.0,206.0,193.9,108.4,beijing barbell,michael johnson,20.0,bronze,world record,,,eleiko
ath_119,david müller,,34.0,spain,-81kg,world championship,2010.0,105.0,170.0,174.2,111.4,roma lifting,,0.0,silver,national record,crossfit,,puma
121,carlos ruiz,f,18.0,china,73kg,,2015.0,84.0,145.0,374.8,90.0,team usa,pedro lópez,0.0,,personal best,,no,adidas
ath_121,anna kowalska,m,35.0,,+109kg,continental cup,2019.0,84.0,122.0,300.0,81.6,roma lifting,li zhang,,,,crossfit,no,
,anna kowalska,f,34.0,usa,+109kg,european cup,2015.0,151.2,125.0,300.0,90.0,cn barcelona,,7.0,,personal best,,,rogue
,david müller,male,34.0,italy,,junior championship,2021.0,0.0,145.0,300.0,95.8,tokyo lift club,michael johnson,10.0,bronze,world record,,yes,under armour
ath_124,youssef ahmed,male,34.0,japan,-55kg,tokyo 2021,2015.0,154.7,145.0,300.0,90.0,london barbell,pedro lópez,,bronze,world record,functional,n,puma
,youssef ahmed,male,34.0,spain,-61kg,,2015.0,84.0,145.0,374.9,90.0,berlin power,,,bronze,personal best,olympic,no,
ath_126,sofia lópez,f,28.0,,-67kg,national open,2018.0,84.0,145.0,300.0,90.0,berlin power,carlos ruiz,,,,olympic,,reebok
,emma brown,,39.0,spain,-109kg,olympics 2020,2021.0,0.0,145.0,300.0,90.0,berlin power,pedro lópez,0.0,,world record,powerlifting,,
,john smith,female,34.0,germany,-73kg,,2011.0,0.0,145.0,300.0,90.0,,li zhang,,,national record,functional,,
130,emma brown,,40.0,,+109kg,,2015.0,85.7,171.9,182.5,84.1,beijing barbell,,,,,,n,
,john smith,male,34.0,italy,-109kg,junior championship,2022.0,102.1,145.0,308.5,101.9,cn barcelona,,,,national record,,,reebok
ath_131,david müller,m,34.0,,-81kg,continental cup,2020.0,84.0,145.0,346.2,75.0,team usa,,,,,,,puma
ath_132,anna kowalska,female,54.0,usa,+109kg,olympics 2020,2015.0,151.0,181.0,300.0,80.9,london barbell,,0.0,gold,,functional,,puma
ath_133,james lee,m,34.0,germany,-61kg,european cup,2016.0,126.0,160.0,300.0,70.0,beijing barbell,,0.0,silver,,,,rogue
ath_134,laura gómez,m,23.0,china,,national open,2021.0,84.0,197.7,300.0,90.0,roma lifting,li zhang,9.0,bronze,,,,rogue
ath_135,hiro tanaka,,34.0,,-73kg,national open,2015.0,84.0,186.0,300.0,90.0,berlin power,carlos ruiz,7.0,,,functional,n,nike
ath_136,,,41.0,germany,73kg,tokyo 2021,2017.0,84.0,144.0,300.0,100.0,berlin power,michael johnson,0.0,,national record,crossfit,,reebok
138,,,56.0,,-55kg,panamerican games,2017.0,0.0,89.0,300.0,83.0,madrid strength,,,,national record,crossfit,no,rogue
ath_138,,,34.0,usa,-67kg,world championship,2018.0,0.0,145.0,300.0,102.0,london barbell,,,bronze,,olympic,y,puma
ath_139,david müller,m,34.0,mexico,+109kg,world championship,2019.0,137.0,145.0,300.0,90.0,cairo strong,anna müller,0.0,silver,world record,olympic,yes,adidas
,elena petrova,female,34.0,usa,-96kg,olympics 2020,2021.0,0.0,145.0,300.0,84.0,madrid strength,li zhang,0.0,gold,,crossfit,,
,maria rossi,female,40.0,usa,-81kg,world championship,2015.0,84.0,145.0,360.8,90.0,,,,,personal best,powerlifting,,rogue
,carlos ruiz,,34.0,spain,-61kg,junior championship,2014.0,84.0,145.0,387.9,90.0,tokyo lift club,,5.0,bronze,personal best,,n,adidas
144,anna kowalska,,34.0,japan,-55kg,national open,2015.0,123.2,199.0,300.0,116.0,beijing barbell,anna müller,,gold,national record,functional,no,nike
ath_144,james lee,f,30.0,egypt,-61kg,world championship,2021.0,84.0,110.0,300.0,90.0,cairo strong,anna müller,0.0,silver,,,no,adidas
ath_145,elena petrova,female,34.0,france,73kg,olympics 2020,2024.0,84.0,145.0,300.0,60.3,roma lifting,pedro lópez,17.0,silver,world record,functional,n,reebok
147,miguel santos,,48.0,france,,,2011.0,0.0,145.0,308.9,90.0,team usa,,0.0,,world record,functional,,reebok
,hiro tanaka,,34.0,russia,+109kg,junior championship,2012.0,84.0,202.5,300.0,90.0,roma lifting,,0.0,,personal best,powerlifting,no,eleiko
149,james lee,m,34.0,rus,-81kg,continental cup,2021.0,84.0,95.6,300.0,90.0,tokyo lift club,anna müller,16.0,bronze,,powerlifting,no,puma
ath_149,hiro tanaka,f,34.0,rus,,european cup,2016.0,84.0,145.0,310.6,90.0,tokyo lift club,,,,personal best,crossfit,yes,adidas
151,youssef ahmed,female,34.0,bra,73kg,european cup,2015.0,90.0,99.8,300.0,90.0,madrid strength,,,,,functional,y,under armour
ath_151,maria rossi,female,33.0,spain,-96kg,panamerican games,2015.0,84.0,145.0,300.0,90.0,london barbell,,13.0,silver,world record,crossfit,n,under armour
,,f,69.0,japan,-55kg,junior championship,2023.0,0.0,193.0,300.0,90.0,cn barcelona,michael johnson,,bronze,,,y,puma
,miguel santos,male,34.0,spain,73kg,national open,2016.0,0.0,145.0,300.0,90.0,london barbell,li zhang,0.0,,,,,nike
ath_154,,female,34.0,spain,-73kg,european cup,2010.0,113.3,145.0,300.0,90.0,madrid strength,,,,,olympic,,eleiko
,,female,34.0,spain,-109kg,world championship,2025.0,84.0,110.0,382.1,90.0,beijing barbell,,3.0,silver,world record,,no,reebok
157,li wei,f,38.0,japan,73kg,national open,2022.0,84.0,163.2,300.0,91.4,london barbell,,,bronze,,functional,,rogue
158,sarah johnson,,34.0,china,73kg,junior championship,2015.0,169.0,87.0,300.0,90.0,cairo strong,,0.0,silver,,powerlifting,y,puma
ath_158,miguel santos,male,34.0,chn,-67kg,,2016.0,84.0,88.9,300.0,78.0,roma lifting,anna müller,,bronze,,crossfit,no,
ath_159,james lee,m,32.0,japan,-67kg,european cup,2010.0,84.0,145.0,300.0,85.3,cairo strong,carlos ruiz,0.0,bronze,,,y,eleiko
ath_160,sarah johnson,,34.0,italy,-73kg,,2023.0,129.0,126.5,261.5,90.0,berlin power,pedro lópez,,,,,,eleiko
,,m,34.0,germany,-96kg,panamerican games,2015.0,0.0,145.0,372.4,66.0,london barbell,anna müller,0.0,,national record,,,nike
163,sarah johnson,,24.0,russia,,world championship,2018.0,111.7,145.0,300.0,90.0,,,2.0,,world record,crossfit,,eleiko
,,,34.0,usa,-61kg,,2023.0,84.0,123.0,300.0,90.0,madrid strength,pedro lópez,,,,,,nike
165,li wei,f,45.0,china,-109kg,european cup,2024.0,84.0,77.0,153.8,90.0,beijing barbell,,,,world record,functional,y,eleiko
ath_165,emma brown,,42.0,,,olympics 2020,2018.0,84.0,145.0,300.0,66.0,roma lifting,,,,world record,olympic,,
167,,f,23.0,japan,-109kg,national open,2016.0,161.8,160.4,300.0,70.0,roma lifting,,0.0,bronze,,functional,yes,
ath_167,li wei,m,10.0,italy,73kg,junior championship,2011.0,85.8,145.0,300.0,66.0,,li zhang,0.0,,personal best,olympic,yes,puma
ath_168,miguel santos,f,37.0,china,-109kg,continental cup,2015.0,173.4,145.0,355.0,90.0,tokyo lift club,pedro lópez,8.0,bronze,national record,powerlifting,n,rogue
170,,female,26.0,brazil,-81kg,tokyo 2021,2016.0,84.0,83.7,300.0,99.0,cairo strong,,0.0,silver,personal best,,,rogue
171,,female,28.0,mexico,+109kg,world championship,2015.0,84.0,184.4,300.0,90.0,london barbell,anna müller,4.0,gold,personal best,powerlifting,,nike
,elena petrova,f,28.0,japan,,,2021.0,0.0,142.0,300.0,90.0,madrid strength,anna müller,0.0,,world record,,,eleiko
,,female,41.0,china,+109kg,world championship,2019.0,100.8,145.0,189.4,90.0,,carlos ruiz,,silver,,functional,y,adidas
ath_173,anna kowalska,m,34.0,rus,,national open,2013.0,84.0,143.0,246.2,90.0,madrid strength,pedro lópez,,,world record,,yes,puma
ath_174,maria rossi,m,49.0,usa,-67kg,european cup,2015.0,84.0,145.0,300.0,104.2,tokyo lift club,pedro lópez,,silver,,olympic,,rogue
,laura gómez,m,34.0,spain,-61kg,olympics 2020,2016.0,84.0,145.0,185.4,90.0,cn barcelona,,0.0,,personal best,olympic,,reebok
,sofia lópez,f,34.0,rus,-81kg,,2025.0,115.0,145.0,300.0,90.0,team usa,pedro lópez,6.0,,,,,nike
178,li wei,,34.0,usa,-67kg,,2014.0,0.0,145.0,156.7,84.0,london barbell,michael johnson,0.0,,world record,powerlifting,,reebok
179,miguel santos,,20.0,china,-67kg,junior championship,2025.0,84.0,145.0,300.0,138.1,london barbell,,,gold,national record,,,under armour
180,miguel santos,female,23.0,france,-61kg,,2021.0,84.0,145.0,300.0,90.0,berlin power,,,silver,,functional,n,
ath_180,anna kowalska,m,34.0,bra,-109kg,tokyo 2021,2010.0,84.0,145.0,300.0,90.0,cairo strong,michael johnson,0.0,,,crossfit,y,reebok
182,anna kowalska,male,34.0,italy,-109kg,,2020.0,84.0,139.0,248.4,90.0,team usa,,,,world record,crossfit,y,under armour
,james lee,,34.0,spain,-96kg,junior championship,2010.0,0.0,114.2,300.0,90.0,roma lifting,,15.0,,personal best,crossfit,yes,puma
184,james lee,,23.0,spain,-109kg,world championship,2015.0,84.0,145.0,300.0,60.0,cairo strong,,,gold,,,,
185,sofia lópez,f,34.0,rus,+109kg,national open,2014.0,165.0,136.2,300.0,139.5,team usa,anna müller,8.0,gold,,crossfit,,eleiko
ath_185,,f,34.0,mexico,-81kg,continental cup,2014.0,84.0,116.0,300.0,90.0,berlin power,,0.0,bronze,personal best,,,eleiko
187,james lee,male,29.0,italy,73kg,junior championship,2013.0,84.0,145.0,300.0,90.0,madrid strength,anna müller,,gold,world record,olympic,no,adidas
,miguel santos,m,28.0,spain,-67kg,junior championship,2010.0,84.0,145.0,300.0,81.5,roma lifting,,,gold,national record,crossfit,n,under armour
,james lee,f,34.0,bra,+109kg,european cup,2014.0,0.0,207.0,300.0,90.0,cn barcelona,,,,,,y,
ath_189,elena petrova,,34.0,bra,-61kg,continental cup,2020.0,0.0,145.0,300.0,90.0,london barbell,,,,,,no,puma
,carlos ruiz,,64.0,,73kg,continental cup,2013.0,84.0,145.0,300.0,58.8,cn barcelona,anna müller,2.0,,world record,olympic,,eleiko
ath_191,james lee,f,45.0,spain,+109kg,olympics 2020,2014.0,59.0,145.0,300.0,90.0,cn barcelona,carlos ruiz,0.0,bronze,,,,
ath_192,laura gómez,,34.0,usa,73kg,junior championship,2016.0,0.0,145.0,300.0,90.0,cn barcelona,pedro lópez,0.0,,,,yes,reebok
